;;;;;;;Playing Time;;;;Performance;;;;;;;;Expected;;;;Progression;;;Per 90 Minutes;;;;;;;;;;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
21;Joachim Andersen;dk DEN;DF;Crystal Palace;27-154;1996;10;10;900;10.0;0.20;0.10;0.30;0.20;0.00;0.00;0.10;0.00;0.07;0.07;0.13;0.20;0.90;6.00;0.50;0.20;0.10;0.30;0.20;0.30;0.07;0.13;0.20;0.07;0.20;Matches
22;Elliot Anderson;sct SCO;MF,FW;Newcastle Utd;20-360;2002;9;4;411;4.6;0.00;0.22;0.22;0.00;0.00;0.00;0.00;0.00;0.15;0.15;0.20;0.35;3.04;5.65;7.17;0.00;0.22;0.22;0.00;0.22;0.16;0.19;0.35;0.16;0.35;Matches
23;Jaidon Anthony;eng ENG;FW;Bournemouth;23-335;1999;3;2;152;1.7;0.00;0.00;0.00;0.00;0.00;0.00;0.59;0.00;0.06;0.06;0.00;0.06;1.18;4.71;5.29;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04;Matches
24;Michail Antonio;jm JAM;FW;West Ham;33-218;1990;10;10;738;8.2;0.24;0.12;0.37;0.24;0.00;0.00;0.24;0.00;0.13;0.13;0.07;0.21;2.68;1.22;5.12;0.24;0.12;0.37;0.24;0.37;0.13;0.07;0.21;0.13;0.21;Matches
25;Antony;br BRA;FW,MF;Manchester Utd;23-250;2000;7;5;404;4.5;0.00;0.00;0.00;0.00;0.00;0.00;0.44;0.00;0.18;0.18;0.18;0.36;4.22;4.67;13.6;0.00;0.00;0.00;0.00;0.00;0.17;0.18;0.35;0.17;0.35;Matches
26;Cameron Archer;eng ENG;FW;Sheffield Utd;22-103;2001;7;6;532;5.9;0.17;0.00;0.17;0.17;0.00;0.00;0.17;0.00;0.10;0.10;0.08;0.19;1.19;1.19;5.08;0.17;0.00;0.17;0.17;0.17;0.09;0.09;0.18;0.09;0.18;Matches
27;Cameron Archer;eng ENG;MF;Aston Villa;22-103;2001;1;0;6;0.1;0.00;0.00;0.00;0.00;0.00;0.00;10.0;0.00;0.00;0.00;0.00;0.00;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
28;Alphonse Areola;fr FRA;GK;West Ham;30-247;1993;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
29;Serge Aurier;ci CIV;DF,MF;Nott'ham Forest;30-312;1992;9;9;708;7.9;0.00;0.25;0.25;0.00;0.00;0.00;0.25;0.00;0.01;0.01;0.06;0.08;1.27;4.18;3.04;0.00;0.25;0.25;0.00;0.25;0.01;0.06;0.07;0.01;0.07;Matches
30;Taiwo Awoniyi;ng NGA;FW;Nott'ham Forest;26-081;1997;8;6;510;5.7;0.53;0.35;0.88;0.53;0.00;0.00;0.18;0.00;0.40;0.40;0.14;0.54;0.88;1.23;3.86;0.53;0.35;0.88;0.53;0.88;0.41;0.14;0.55;0.41;0.55;Matches
