;;;;;;;Playing Time;;;;Performance;;;;;;;;Expected;;;;Progression;;;Per 90 Minutes;;;;;;;;;;
Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
85;Carney Chukwuemeka;eng ENG;MF;Chelsea;20-012;2003;2;2;125;1.4;0.71;0.00;0.71;0.71;0.00;0.00;1.43;0.00;0.07;0.07;0.07;0.14;1.43;2.86;6.43;0.72;0.00;0.72;0.72;0.72;0.08;0.09;0.16;0.08;0.16;Matches
86;Nathaniel Clyne;eng ENG;DF;Crystal Palace;32-210;1991;2;1;111;1.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.67;2.50;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;Matches
87;Nathan Collins;ie IRL;DF;Brentford;22-185;2001;10;9;820;9.1;0.00;0.11;0.11;0.00;0.00;0.00;0.22;0.00;0.03;0.03;0.09;0.12;0.44;3.63;0.55;0.00;0.11;0.11;0.00;0.11;0.04;0.08;0.12;0.04;0.12;Matches
88;Levi Colwill;eng ENG;DF;Chelsea;20-248;2003;10;10;889;9.9;0.00;0.10;0.10;0.00;0.00;0.00;0.00;0.00;0.08;0.08;0.09;0.17;1.01;3.43;1.62;0.00;0.10;0.10;0.00;0.10;0.09;0.09;0.17;0.09;0.17;Matches
89;Lewis Cook;eng ENG;MF;Bournemouth;26-271;1997;7;6;523;5.8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.17;0.02;0.02;0.03;0.05;0.52;3.28;0.34;0.00;0.00;0.00;0.00;0.00;0.01;0.04;0.05;0.01;0.05;Matches
90;Jack Cork;eng ENG;MF;Burnley;34-129;1989;1;0;17;0.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.0;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
91;Maxwel Cornet;ci CIV;MF;West Ham;27-035;1996;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
92;Vladimír Coufal;cz CZE;DF;West Ham;31-071;1992;10;10;896;10.0;0.00;0.40;0.40;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.11;2.90;3.90;2.80;0.00;0.40;0.40;0.00;0.40;0.00;0.11;0.11;0.00;0.11;Matches
93;Philippe Coutinho;br BRA;MF,FW;Aston Villa;31-142;1992;2;0;25;0.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.33;0.00;0.33;16.7;16.7;6.67;0.00;0.00;0.00;0.00;0.00;0.52;0.00;0.52;0.52;0.52;Matches
94;Aaron Cresswell;eng ENG;DF;West Ham;33-321;1989;1;1;84;0.9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.11;1.11;8.89;1.11;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.11;0.00;0.11;Matches
95;Marc Cucurella;es ESP;DF;Chelsea;25-102;1998;4;4;350;3.9;0.00;0.00;0.00;0.00;0.00;0.00;0.77;0.00;0.15;0.15;0.03;0.18;1.28;3.08;4.10;0.00;0.00;0.00;0.00;0.00;0.15;0.02;0.17;0.15;0.17;Matches
96;Josh Cullen;ie IRL;MF;Burnley;27-208;1996;10;10;839;9.3;0.00;0.11;0.11;0.00;0.00;0.00;0.54;0.00;0.01;0.01;0.06;0.08;0.54;4.19;0.97;0.00;0.11;0.11;0.00;0.11;0.01;0.06;0.07;0.01;0.07;Matches
97;Matheus Cunha;br BRA;FW;Wolves;24-158;1999;10;10;801;8.9;0.22;0.11;0.34;0.22;0.00;0.00;0.11;0.00;0.33;0.33;0.15;0.47;3.48;2.25;3.82;0.22;0.11;0.34;0.22;0.34;0.32;0.15;0.47;0.32;0.47;Matches
98;Mahmoud Dahoud;de GER;MF;Brighton;27-304;1996;6;4;316;3.5;0.00;0.29;0.29;0.00;0.00;0.00;0.29;0.00;0.03;0.03;0.20;0.23;0.57;2.00;1.43;0.00;0.28;0.28;0.00;0.28;0.02;0.20;0.21;0.02;0.21;Matches
99;Ameen Al-Dakhil;be BEL;DF;Burnley;21-240;2002;10;10;855;9.5;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.02;0.02;0.01;0.03;0.63;3.05;0.21;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.03;0.02;0.03;Matches
100;Diogo Dalot;pt POR;DF;Manchester Utd;24-228;1999;9;8;745;8.3;0.12;0.00;0.12;0.12;0.00;0.00;0.12;0.00;0.04;0.04;0.07;0.11;2.41;4.70;4.22;0.12;0.00;0.12;0.12;0.12;0.03;0.07;0.10;0.03;0.10;Matches
101;Mikkel Damsgaard;dk DEN;MF,FW;Brentford;23-121;2000;2;0;54;0.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.17;0.17;0.00;0.17;0.00;6.67;0.00;0.00;0.00;0.00;0.00;0.00;0.12;0.00;0.12;0.12;0.12;Matches
102;Danilo;br BRA;MF,FW;Nott'ham Forest;22-186;2001;4;4;283;3.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.03;0.06;0.97;2.26;2.26;0.00;0.00;0.00;0.00;0.00;0.05;0.02;0.07;0.05;0.07;Matches
103;Arnaut Danjuma;nl NED;FW,MF;Everton;26-274;1997;8;3;373;4.1;0.24;0.00;0.24;0.24;0.00;0.00;0.00;0.00;0.44;0.44;0.07;0.54;3.17;0.98;6.59;0.24;0.00;0.24;0.24;0.24;0.45;0.08;0.53;0.45;0.53;Matches
104;Josh Dasilva;eng ENG;MF;Brentford;25-009;1998;1;0;10;0.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
105;Ben Davies;wls WAL;DF;Tottenham;30-191;1993;5;1;92;1.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.60;0.60;0.00;0.60;0.00;10.0;5.00;0.00;0.00;0.00;0.00;0.00;0.54;0.00;0.54;0.54;0.54;Matches
106;Tom Davies;eng ENG;MF;Sheffield Utd;25-124;1998;3;0;60;0.7;0.00;0.00;0.00;0.00;0.00;0.00;1.43;0.00;0.14;0.14;0.14;0.29;4.29;5.71;1.43;0.00;0.00;0.00;0.00;0.00;0.14;0.11;0.25;0.14;0.25;Matches
107;Craig Dawson;eng ENG;DF;Wolves;33-179;1990;10;10;880;9.8;0.00;0.00;0.00;0.00;0.00;0.00;0.31;0.00;0.07;0.07;0.06;0.13;0.10;2.45;0.20;0.00;0.00;0.00;0.00;0.00;0.07;0.06;0.13;0.07;0.13;Matches
108;Kevin De Bruyne;be BEL;MF;Manchester City;32-126;1991;1;1;22;0.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;5.00;15.0;0.00;0.00;0.00;0.00;0.00;0.08;0.83;0.91;0.08;0.91;Matches
109;Hannes Delcroix;be BEL;DF;Burnley;24-246;1999;6;2;241;2.7;0.00;0.00;0.00;0.00;0.00;0.00;0.37;0.00;0.15;0.15;0.04;0.19;0.37;2.59;0.00;0.00;0.00;0.00;0.00;0.00;0.13;0.05;0.19;0.13;0.19;Matches
110;Leander Dendoncker;be BEL;MF,FW;Aston Villa;28-200;1995;3;0;3;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
111;Moussa Diaby;fr FRA;MF,FW;Aston Villa;24-117;1999;10;10;793;8.8;0.34;0.34;0.68;0.34;0.00;0.00;0.00;0.00;0.22;0.22;0.37;0.59;3.98;3.64;7.05;0.34;0.34;0.68;0.34;0.68;0.22;0.37;0.59;0.22;0.59;Matches
112;Rúben Dias;pt POR;DF;Manchester City;26-171;1997;9;8;736;8.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.05;0.00;0.05;1.83;6.46;0.73;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05;Matches
113;Luis Díaz;co COL;FW,MF;Liverpool;26-292;1997;9;8;624;6.9;0.29;0.00;0.29;0.29;0.00;0.00;0.00;0.00;0.38;0.38;0.10;0.48;3.48;2.75;9.71;0.29;0.00;0.29;0.29;0.29;0.38;0.10;0.48;0.38;0.48;Matches
114;Lucas Digne;fr FRA;DF;Aston Villa;30-104;1993;10;10;890;9.9;0.00;0.20;0.20;0.00;0.00;0.00;0.40;0.00;0.02;0.02;0.16;0.18;1.41;3.03;9.49;0.00;0.20;0.20;0.00;0.20;0.02;0.16;0.18;0.02;0.18;Matches
115;Issa Diop;fr FRA;DF;Fulham;26-296;1997;8;8;700;7.8;0.00;0.00;0.00;0.00;0.00;0.00;0.26;0.00;0.03;0.03;0.00;0.03;1.15;5.77;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.00;0.02;0.02;0.02;Matches
116;Axel Disasi;fr FRA;DF;Chelsea;25-235;1998;9;9;786;8.7;0.11;0.00;0.11;0.11;0.00;0.00;0.23;0.00;0.09;0.09;0.02;0.11;1.03;5.29;0.80;0.11;0.00;0.11;0.11;0.11;0.09;0.02;0.11;0.09;0.11;Matches
117;Ben Doak;sct SCO;FW;Liverpool;17-355;2005;1;0;14;0.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
118;Lewis Dobbin;eng ENG;MF;Everton;20-302;2003;3;1;118;1.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.08;0.00;0.08;3.85;0.00;4.62;0.00;0.00;0.00;0.00;0.00;0.05;0.02;0.07;0.05;0.07;Matches
119;Matt Doherty;ie IRL;MF,FW;Wolves;31-289;1992;5;1;228;2.5;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.08;0.08;0.20;0.28;0.40;1.20;5.60;0.00;0.00;0.00;0.00;0.00;0.06;0.20;0.26;0.06;0.26;Matches
120;Jeremy Doku;be BEL;FW;Manchester City;21-158;2002;7;5;405;4.5;0.22;0.22;0.44;0.22;0.00;0.00;0.22;0.00;0.09;0.09;0.29;0.38;11.3;2.22;15.3;0.22;0.22;0.44;0.22;0.44;0.08;0.29;0.37;0.08;0.37;Matches
121;Nicolás Domínguez;ar ARG;MF;Nott'ham Forest;25-126;1998;5;5;404;4.5;0.22;0.00;0.22;0.22;0.00;0.00;0.22;0.00;0.04;0.04;0.00;0.04;0.67;6.00;3.33;0.22;0.00;0.22;0.22;0.22;0.05;0.00;0.05;0.05;0.05;Matches
122;Gabriel Dos Santos;br BRA;DF;Arsenal;25-317;1997;8;6;566;6.3;0.00;0.00;0.00;0.00;0.00;0.00;0.16;0.00;0.03;0.03;0.00;0.03;0.16;3.49;0.48;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;Matches
123;Abdoulaye Doucouré;ml MLI;FW,MF;Everton;30-304;1993;10;10;856;9.5;0.32;0.00;0.32;0.32;0.00;0.00;0.11;0.00;0.35;0.35;0.17;0.52;2.42;2.95;6.00;0.32;0.00;0.32;0.32;0.32;0.35;0.17;0.51;0.35;0.51;Matches
124;Cheick Doucouré;ml MLI;MF;Crystal Palace;23-297;2000;9;9;809;9.0;0.00;0.00;0.00;0.00;0.00;0.00;0.22;0.00;0.03;0.03;0.07;0.10;0.89;4.56;0.33;0.00;0.00;0.00;0.00;0.00;0.03;0.07;0.10;0.03;0.10;Matches
125;Alfie Doughty;eng ENG;DF,MF;Luton Town;23-315;1999;10;7;643;7.1;0.00;0.14;0.14;0.00;0.00;0.00;0.14;0.00;0.03;0.03;0.23;0.27;1.97;3.80;5.21;0.00;0.14;0.14;0.00;0.14;0.03;0.23;0.26;0.03;0.26;Matches
126;Tommy Doyle;eng ENG;MF;Wolves;22-015;2001;4;0;97;1.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.73;11.8;2.73;0.00;0.00;0.00;0.00;0.00;0.00;0.02;0.02;0.00;0.02;Matches
127;Lewis Dunk;eng ENG;DF;Brighton;31-345;1991;10;10;900;10.0;0.10;0.00;0.10;0.10;0.00;0.00;0.20;0.00;0.14;0.14;0.01;0.15;1.60;5.50;0.30;0.10;0.00;0.10;0.10;0.10;0.14;0.01;0.15;0.14;0.15;Matches
128;Jhon Durán;co COL;FW,MF;Aston Villa;19-323;2003;6;0;73;0.8;2.50;0.00;2.50;2.50;0.00;0.00;2.50;0.00;0.87;0.87;0.00;0.87;5.00;2.50;5.00;2.47;0.00;2.47;2.47;2.47;0.90;0.02;0.91;0.90;0.91;Matches
129;Ederson;br BRA;GK;Manchester City;30-076;1993;9;9;810;9.0;0.00;0.00;0.00;0.00;0.00;0.00;0.22;0.00;0.00;0.00;0.01;0.01;0.00;0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00;0.01;Matches
130;Odsonne Édouard;fr FRA;FW,MF;Crystal Palace;25-289;1998;9;9;775;8.6;0.47;0.00;0.47;0.47;0.00;0.00;0.12;0.00;0.34;0.34;0.06;0.40;1.86;1.98;4.88;0.46;0.00;0.46;0.46;0.46;0.34;0.06;0.40;0.34;0.40;Matches
131;John Egan;ie IRL;DF;Sheffield Utd;31-012;1992;6;6;482;5.4;0.00;0.00;0.00;0.00;0.00;0.00;0.37;0.00;0.04;0.04;0.00;0.04;0.00;0.93;0.19;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03;Matches
132;Anthony Elanga;se SWE;FW,MF;Nott'ham Forest;21-188;2002;10;4;475;5.3;0.19;0.57;0.75;0.19;0.00;0.00;0.00;0.00;0.19;0.19;0.36;0.55;4.72;2.26;8.49;0.19;0.57;0.76;0.19;0.76;0.19;0.35;0.55;0.19;0.55;Matches
133;Harvey Elliott;eng ENG;MF;Liverpool;20-211;2003;8;1;229;2.5;0.00;0.00;0.00;0.00;0.00;0.00;0.40;0.00;0.12;0.12;0.04;0.16;4.00;8.00;8.00;0.00;0.00;0.00;0.00;0.00;0.11;0.03;0.14;0.11;0.14;Matches
134;Mohamed Elneny;eg EGY;MF;Arsenal;31-113;1992;1;0;2;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
135;Emerson;br BRA;DF;Tottenham;24-291;1999;7;1;194;2.2;0.45;0.00;0.45;0.45;0.00;0.00;0.00;0.00;0.05;0.05;0.00;0.05;5.00;4.55;2.27;0.46;0.00;0.46;0.46;0.46;0.02;0.00;0.02;0.02;0.02;Matches
136;Wataru Endo;jp JPN;MF,FW;Liverpool;30-265;1993;6;1;121;1.3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.85;0.77;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
137;Christian Eriksen;dk DEN;MF;Manchester Utd;31-260;1992;9;4;490;5.4;0.19;0.19;0.37;0.19;0.00;0.00;0.00;0.00;0.07;0.07;0.17;0.26;2.41;5.00;2.78;0.18;0.18;0.37;0.18;0.37;0.08;0.17;0.25;0.08;0.25;Matches
138;Pervis Estupiñán;ec ECU;DF;Brighton;25-284;1998;6;6;495;5.5;0.18;0.55;0.73;0.18;0.00;0.00;0.36;0.00;0.16;0.16;0.51;0.65;4.00;7.45;6.55;0.18;0.55;0.73;0.18;0.73;0.16;0.50;0.66;0.16;0.66;Matches
139;Jonny Evans;nir NIR;DF;Manchester Utd;35-302;1988;5;4;358;4.0;0.00;0.25;0.25;0.00;0.00;0.00;0.25;0.00;0.00;0.00;0.05;0.05;0.25;2.50;0.00;0.00;0.25;0.25;0.00;0.25;0.00;0.04;0.04;0.00;0.04;Matches
140;Eberechi Eze;eng ENG;MF,FW;Crystal Palace;25-125;1998;7;7;627;7.0;0.14;0.00;0.14;0.14;0.00;0.00;0.14;0.00;0.33;0.33;0.19;0.53;3.00;3.43;5.86;0.14;0.00;0.14;0.14;0.14;0.33;0.19;0.53;0.33;0.53;Matches
141;Ansu Fati;es ESP;MF,FW;Brighton;21-001;2002;6;0;177;2.0;1.00;0.00;1.00;1.00;0.00;0.00;0.50;0.00;1.10;1.10;0.20;1.25;3.50;8.50;5.50;1.02;0.00;1.02;1.02;1.02;1.10;0.18;1.28;1.10;1.28;Matches
142;Evan Ferguson;ie IRL;FW;Brighton;19-013;2004;10;6;514;5.7;0.88;0.00;0.88;0.88;0.00;0.00;0.00;0.00;0.47;0.47;0.07;0.54;1.23;1.58;3.33;0.88;0.00;0.88;0.88;0.88;0.47;0.07;0.55;0.47;0.55;Matches
143;Bruno Fernandes;pt POR;MF,FW;Manchester Utd;29-054;1994;10;10;900;10.0;0.20;0.20;0.40;0.10;0.10;0.10;0.40;0.00;0.29;0.21;0.37;0.59;1.30;9.30;5.80;0.20;0.20;0.40;0.10;0.30;0.29;0.37;0.67;0.21;0.59;Matches
144;Enzo Fernández;ar ARG;MF;Chelsea;22-288;2001;9;9;776;8.6;0.00;0.00;0.00;0.00;0.00;0.12;0.35;0.00;0.27;0.17;0.13;0.30;2.79;10.1;2.79;0.00;0.00;0.00;0.00;0.00;0.26;0.13;0.39;0.17;0.30;Matches
145;John Fleck;sct SCO;MF;Sheffield Utd;32-069;1991;1;0;20;0.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
146;Mark Flekken;nl NED;GK;Brentford;30-141;1993;9;9;810;9.0;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
147;Phil Foden;eng ENG;FW,MF;Manchester City;23-157;2000;10;9;786;8.7;0.23;0.34;0.57;0.23;0.00;0.00;0.11;0.00;0.28;0.28;0.20;0.48;2.07;5.06;7.82;0.23;0.34;0.57;0.23;0.57;0.28;0.20;0.48;0.28;0.48;Matches
148;Wes Foderingham;eng ENG;GK;Sheffield Utd;32-291;1991;10;10;900;10.0;0.00;0.00;0.00;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
149;Pablo Fornals;es ESP;MF,FW;West Ham;27-252;1996;7;1;145;1.6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.13;0.13;0.06;0.19;1.25;5.63;6.25;0.00;0.00;0.00;0.00;0.00;0.15;0.07;0.22;0.15;0.22;Matches
150;Lyle Foster;za RSA;FW,MF;Burnley;23-059;2000;7;7;607;6.7;0.45;0.30;0.75;0.45;0.00;0.00;0.00;0.15;0.24;0.24;0.18;0.40;2.69;1.04;4.33;0.44;0.30;0.74;0.44;0.74;0.23;0.17;0.40;0.23;0.40;Matches
151;Matheus França;br BRA;FW,MF;Crystal Palace;19-214;2004;2;0;33;0.4;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.25;0.75;1.00;2.50;2.50;5.00;0.00;0.00;0.00;0.00;0.00;0.22;0.85;1.08;0.22;1.08;Matches
152;Cody Gakpo;nl NED;FW,MF;Liverpool;24-178;1999;8;5;353;3.9;0.51;0.00;0.51;0.51;0.00;0.00;0.00;0.00;0.49;0.49;0.05;0.54;1.79;4.62;6.67;0.51;0.00;0.51;0.51;0.51;0.48;0.05;0.54;0.48;0.54;Matches
153;Conor Gallagher;eng ENG;MF;Chelsea;23-268;2000;10;10;855;9.5;0.00;0.21;0.21;0.00;0.00;0.00;0.11;0.00;0.07;0.07;0.12;0.19;1.89;5.47;3.47;0.00;0.21;0.21;0.00;0.21;0.08;0.11;0.19;0.08;0.19;Matches
154;Idrissa Gana Gueye;sn SEN;MF;Everton;34-036;1989;7;7;539;6.0;0.00;0.00;0.00;0.00;0.00;0.00;0.17;0.00;0.05;0.05;0.08;0.13;2.17;4.17;1.67;0.00;0.00;0.00;0.00;0.00;0.05;0.08;0.13;0.05;0.13;Matches
155;Alejandro Garnacho;ar ARG;FW,MF;Manchester Utd;19-123;2004;8;2;248;2.8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.21;0.21;0.11;0.32;7.14;2.86;12.1;0.00;0.00;0.00;0.00;0.00;0.23;0.10;0.34;0.23;0.34;Matches
156;James Garner;eng ENG;MF;Everton;22-233;2001;10;9;797;8.9;0.11;0.11;0.22;0.11;0.00;0.00;0.11;0.00;0.12;0.12;0.21;0.34;1.46;3.26;2.92;0.11;0.11;0.23;0.11;0.23;0.12;0.21;0.34;0.12;0.34;Matches
157;Saman Ghoddos;ir IRN;DF,MF;Brentford;30-056;1993;5;0;62;0.7;1.43;0.00;1.43;1.43;0.00;0.00;4.29;0.00;0.14;0.14;0.43;0.57;5.71;10.0;2.86;1.45;0.00;1.45;1.45;1.45;0.15;0.48;0.62;0.15;0.62;Matches
158;Morgan Gibbs-White;eng ENG;MF,FW;Nott'ham Forest;23-278;2000;10;9;833;9.3;0.00;0.11;0.11;0.00;0.00;0.00;0.32;0.00;0.13;0.13;0.22;0.35;2.58;3.98;5.48;0.00;0.11;0.11;0.00;0.11;0.13;0.22;0.35;0.13;0.35;Matches
159;Bryan Gil;es ESP;MF;Tottenham;22-263;2001;1;0;2;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
160;Billy Gilmour;sct SCO;MF;Brighton;22-143;2001;9;5;481;5.3;0.00;0.19;0.19;0.00;0.00;0.00;0.19;0.00;0.06;0.06;0.28;0.34;1.32;7.55;1.89;0.00;0.19;0.19;0.00;0.19;0.06;0.27;0.34;0.06;0.34;Matches
161;Ben Godfrey;eng ENG;DF;Everton;25-290;1998;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
162;João Gomes;br BRA;MF;Wolves;22-262;2001;10;9;675;7.5;0.00;0.00;0.00;0.00;0.00;0.00;0.40;0.00;0.03;0.03;0.04;0.05;0.67;2.67;0.67;0.00;0.00;0.00;0.00;0.00;0.02;0.04;0.06;0.02;0.06;Matches
163;Toti Gomes;pt POR;DF;Wolves;24-289;1999;7;4;415;4.6;0.00;0.22;0.22;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.07;1.09;2.83;0.00;0.00;0.22;0.22;0.00;0.22;0.00;0.08;0.08;0.00;0.08;Matches
164;Joe Gomez;eng ENG;DF;Liverpool;26-162;1997;9;4;439;4.9;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.00;0.02;0.02;0.04;0.06;1.84;5.10;4.29;0.00;0.00;0.00;0.00;0.00;0.02;0.04;0.06;0.02;0.06;Matches
165;Sergio Gómez;es ESP;FW;Manchester City;23-058;2000;2;0;16;0.2;0.00;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;15.0;5.00;10.0;0.00;5.63;5.63;0.00;5.63;0.00;1.06;1.06;0.00;1.06;Matches
166;Anthony Gordon;eng ENG;FW;Newcastle Utd;22-250;2001;9;8;701;7.8;0.38;0.26;0.64;0.38;0.00;0.00;0.64;0.00;0.32;0.32;0.22;0.54;4.74;2.82;7.44;0.39;0.26;0.64;0.39;0.64;0.33;0.21;0.54;0.33;0.54;Matches
167;Ryan Gravenberch;nl NED;MF;Liverpool;21-169;2002;6;2;190;2.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.38;0.38;0.00;0.38;2.86;6.19;6.19;0.00;0.00;0.00;0.00;0.00;0.36;0.01;0.37;0.36;0.37;Matches
168;Jack Grealish;eng ENG;FW;Manchester City;28-052;1995;6;3;297;3.3;0.00;0.30;0.30;0.00;0.00;0.00;0.61;0.00;0.18;0.18;0.30;0.48;6.97;4.24;13.6;0.00;0.30;0.30;0.00;0.30;0.17;0.30;0.48;0.17;0.48;Matches
169;Pascal Groß;de GER;MF;Brighton;32-139;1991;8;8;708;7.9;0.25;0.13;0.38;0.25;0.00;0.00;0.13;0.00;0.18;0.18;0.16;0.33;1.65;7.85;4.81;0.25;0.13;0.38;0.25;0.38;0.17;0.16;0.34;0.17;0.34;Matches
170;Marc Guéhi;eng ENG;DF;Crystal Palace;23-111;2000;9;9;809;9.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.07;0.01;0.08;0.78;2.33;0.11;0.00;0.00;0.00;0.00;0.00;0.07;0.01;0.08;0.07;0.08;Matches
171;Bruno Guimarães;br BRA;MF;Newcastle Utd;25-350;1997;10;10;862;9.6;0.10;0.10;0.21;0.10;0.00;0.00;0.42;0.00;0.10;0.10;0.13;0.22;1.88;6.77;1.46;0.10;0.10;0.21;0.10;0.21;0.10;0.12;0.22;0.10;0.22;Matches
172;Malo Gusto;fr FRA;DF;Chelsea;20-166;2003;7;6;500;5.6;0.00;0.36;0.36;0.00;0.00;0.00;0.00;0.18;0.02;0.02;0.11;0.13;4.64;4.11;6.79;0.00;0.36;0.36;0.00;0.36;0.02;0.10;0.12;0.02;0.12;Matches
173;Joško Gvardiol;hr CRO;DF;Manchester City;21-282;2002;8;7;641;7.1;0.00;0.00;0.00;0.00;0.00;0.00;0.14;0.00;0.03;0.03;0.10;0.13;2.54;5.63;2.11;0.00;0.00;0.00;0.00;0.00;0.03;0.09;0.12;0.03;0.12;Matches
174;Erling Haaland;no NOR;FW;Manchester City;23-103;2000;10;10;888;9.9;1.11;0.20;1.31;0.91;0.20;0.30;0.00;0.00;1.03;0.79;0.25;1.05;0.71;0.71;4.04;1.11;0.20;1.32;0.91;1.11;1.03;0.26;1.29;0.79;1.05;Matches
175;Antwoine Hackford;eng ENG;FW;Sheffield Utd;19-226;2004;2;0;13;0.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
176;Lewis Hall;eng ENG;DF;Newcastle Utd;19-054;2004;1;0;10;0.1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
177;Gustavo Hamer;nl NED;MF,FW;Sheffield Utd;26-130;1997;9;9;723;8.0;0.25;0.00;0.25;0.25;0.00;0.00;0.13;0.00;0.09;0.09;0.09;0.17;1.13;4.13;2.13;0.25;0.00;0.25;0.25;0.25;0.09;0.08;0.17;0.09;0.17;Matches
178;Luke Harris;wls WAL;MF;Fulham;18-212;2005;1;0;75;0.8;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.37;0.37;0.00;0.37;0.00;1.25;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.00;0.33;0.33;0.33;Matches
