id,name,now_cost,position,team,red_cards,transfers_in_event,assists,saves,transfers_out,bonus,clean_sheets_per_90,cost_change_start,cost_change_event,starts,corners_and_indirect_freekicks_order,direct_freekicks_order,selected_rank_type,expected_goal_involvements_per_90,now_cost_rank,goals_conceded_per_90,ict_index_rank_type,selected_rank,form_rank_type,creativity_rank_type,ep_this,cost_change_event_fall,points_per_game_rank,ict_index,threat,ict_index_rank,now_cost_rank_type,expected_assists_per_90,influence_rank_type,expected_goals_conceded,chance_of_playing_this_round,penalties_missed,web_name,selected_by_percent,expected_goals_per_90,chance_of_playing_next_round,saves_per_90,points_per_game_rank_type,clean_sheets,threat_rank_type,own_goals,expected_goals,news,news_added,form_rank,penalties_order,value_form,transfers_in,form,creativity,value_season,bps,goals_conceded,yellow_cards,goals_scored,expected_goal_involvements,influence_rank,creativity_rank,points_per_game,influence,minutes,penalties_saved,status,expected_assists,transfers_out_event,starts_per_90,threat_rank,cost_change_start_fall,dreamteam_count,in_dreamteam,ep_next,event_points,total_points,expected_goals_conceded_per_90
629,James McConnell,44,MID,Liverpool,0,63,0,0,1268,0,0.0,-1,0,0,,,247,0.0,556,0.0,216,626,165,240,0.7,0,383,0.1,0.0,456,310,0.0,209,0.01,,0,McConnell,0.0,0.0,,0.0,177,0,234,0,0.00,,,353,,0.0,870,0.2,0.0,0.2,3,0,0,0,0.00,445,602,1.0,1.0,1,0,a,0.00,40,0.0,588,1,0,False,-0.3,1,1,0.9
668,Wataru Endo,54,MID,Liverpool,0,206,0,0,6800,0,0.44,-1,0,2,,,160,0.02,116,0.87,185,480,128,188,1.5,0,339,3.3,0.0,399,73,0.02,159,4.91,,0,Endo,0.1,0.0,,0.0,160,1,315,0,0.00,,,268,,0.2,7703,1.0,6.7,1.7,30,2,0,0,0.04,360,374,1.3,27.2,206,0,a,0.04,177,0.87,724,1,0,False,0.5,3,9,2.15
708,Ryan Gravenberch,50,MID,Liverpool,0,101,0,0,13824,0,0.33,0,0,3,,,124,0.34,206,1.0,127,385,101,135,1.0,0,317,15.7,69.0,279,129,0.05,137,2.88,50.0,0,Gravenberch,0.1,0.29,50.0,0.0,148,1,94,0,0.87,Knee injury - 50% chance of playing,2023-11-09T08:30:09.628354Z,218,,0.3,23654,1.5,44.1,2.0,47,3,0,0,1.03,315,244,1.4,44.2,270,0,d,0.16,1624,1.0,159,0,0,False,0.5,0,10,0.96
726,Luke Chambers,40,DEF,Liverpool,0,97,0,0,520,0,0.0,0,0,0,,,217,0.0,678,0.0,198,634,164,196,0.5,0,543,0.0,0.0,538,202,0.0,198,0.00,,0,Chambers,0.0,0.0,,0.0,195,0,188,0,0.00,,,468,,0.0,1224,0.0,0.0,0.0,0,0,0,0,0.00,531,516,0.0,0.0,0,0,a,0.00,69,0.0,493,0,0,False,-0.5,0,0,0.0
728,Callum Scanlon,40,DEF,Liverpool,0,39,0,0,130,0,0.0,0,0,0,,,236,0.0,701,0.0,208,700,175,206,0.5,0,561,0.0,0.0,556,217,0.0,209,0.00,,0,Scanlon,0.0,0.0,,0.0,205,0,199,0,0.00,,,487,,0.0,297,0.0,0.0,0.0,0,0,0,0,0.00,550,534,0.0,0.0,0,0,a,0.00,34,0.0,512,0,0,False,-0.5,0,0,0.0
743,Treymaurice Nyoni,45,MID,Liverpool,0,13,0,0,1,0,0.0,0,0,0,,,320,0.0,467,0.0,285,742,261,282,1.7,0,688,0.0,0.0,687,273,0.0,281,0.00,,0,Nyoni,0.0,0.0,,0.0,286,0,279,0,0.00,,,648,,0.0,13,0.0,0.0,0.0,0,0,0,0,0.00,681,677,0.0,0.0,0,0,a,0.00,1,0.0,670,0,0,False,0.7,0,0,0.0
21,Albert Sambi Lokonga,49,MID,Luton,0,13,0,0,2072,0,0.0,-1,0,2,,,248,0.05,264,1.38,191,627,287,181,0.0,0,307,2.9,11.0,409,168,0.01,197,1.07,0.0,0,Sambi,0.0,0.04,0.0,0.0,142,0,176,0,0.06,Hamstring injury - Expected back 25 Nov,2023-09-27T09:00:08.013871Z,684,,0.0,1004,0.0,13.9,0.6,11,2,0,0,0.07,428,353,1.5,4.2,130,0,i,0.01,24,1.38,347,1,0,False,0.0,0,3,0.74
52,Marvelous Nakamba,44,MID,Luton,0,4890,0,0,148260,0,0.0,-1,0,12,,,46,0.06,503,1.87,102,148,80,89,0.8,0,280,24.5,14.0,208,286,0.04,68,24.74,,0,Nakamba,1.5,0.02,,0.0,125,0,164,0,0.18,,,175,,0.4,168002,1.8,101.2,4.5,123,22,4,0,0.66,175,127,1.7,127.8,1060,0,a,0.48,3344,1.02,326,1,0,False,1.3,2,20,2.1
314,Elijah Adebayo,48,FWD,Luton,0,1053,0,0,90990,2,0.0,-2,0,4,,,32,0.35,293,1.9,31,205,23,25,1.0,0,217,25.4,100.0,205,59,0.05,29,7.08,,0,Adebayo,0.7,0.3,,0.0,31,0,32,0,1.25,,,154,2.0,0.4,49530,2.0,68.0,5.4,70,8,0,2,1.46,245,181,2.2,85.2,378,0,a,0.21,1702,0.95,116,2,0,False,1.5,1,26,1.69
315,Mads Juel Andersen,40,DEF,Luton,0,41,0,0,175730,1,0.0,0,0,4,,,70,0.06,645,1.46,102,179,145,146,0.0,0,211,14.3,27.0,291,179,0.0,82,7.07,0.0,0,Andersen,1.0,0.06,0.0,0.0,71,0,79,0,0.26,Hamstring injury - Unknown return date,2023-10-07T21:00:07.970294Z,439,,0.0,198446,0.0,1.8,3.2,68,6,1,1,0.26,202,398,2.2,113.2,371,0,i,0.00,3211,0.97,262,0,0,False,0.0,0,13,1.72
