id,name,now_cost,position,team,influence_rank_type,now_cost_rank,threat_rank_type,bps,points_per_game_rank,expected_assists_per_90,points_per_game_rank_type,total_points,transfers_in_event,transfers_out_event,form_rank,in_dreamteam,news,goals_conceded_per_90,expected_assists,corners_and_indirect_freekicks_order,expected_goals_conceded,cost_change_event_fall,form,minutes,chance_of_playing_next_round,expected_goals_conceded_per_90,starts,ep_next,web_name,selected_rank,points_per_game,assists,expected_goals_per_90,ict_index_rank,creativity_rank,chance_of_playing_this_round,status,penalties_saved,selected_by_percent,saves_per_90,saves,threat_rank,news_added,dreamteam_count,cost_change_event,transfers_in,ict_index_rank_type,influence_rank,direct_freekicks_order,event_points,goals_conceded,value_form,starts_per_90,expected_goal_involvements_per_90,selected_rank_type,cost_change_start,ep_this,penalties_missed,threat,red_cards,own_goals,clean_sheets_per_90,expected_goals,yellow_cards,creativity,ict_index,influence,expected_goal_involvements,penalties_order,clean_sheets,bonus,now_cost_rank_type,goals_scored,transfers_out,value_season,creativity_rank_type,cost_change_start_fall,form_rank_type
639,Micky van de Ven,46,DEF,Spurs,33,350,75,227,67,0.01,15,43,424,80440,130,False,Hamstring injury - Expected back 14 Jan,0.95,0.11,,13.62,1,2.2,945,0.0,1.3,11,0.0,Van de Ven,99,3.9,0,0.03,204,351,0.0,i,0,3.3,0.0,0,250,2023-11-06T23:30:09.875820Z,1,-1,729127,61,93,,0,10,0.5,1.05,0.04,41,1,0.0,0,32.0,0,0,0.38,0.35,1,14.0,25.4,206.6,0.46,,4,4,50,1,453118,9.3,123,-1,36
640,Dane Scarlett,45,FWD,Spurs,70,432,72,0,665,0.0,74,0,0,130,620,False,Season-long loan to  Ipswich Town,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Scarlett,356,0.0,0,0.0,662,651,0.0,u,0,0.1,0.0,0,642,2023-09-01T07:25:42.681391Z,0,0,7772,72,656,,0,0,0.0,0.0,0.0,57,0,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,77,0,28739,0.0,72,0,70
641,Alejo Véliz,54,FWD,Spurs,87,128,87,2,456,0.0,59,2,188,216,377,False,,0.0,0.00,,0.89,0,0.2,10,,8.01,0,0.2,Veliz,462,0.7,0,0.0,728,416,,a,0,0.1,0.0,0,726,,0,0,6516,87,728,,0,0,0.0,0.0,0.0,70,-1,0.2,0,0.0,0,0,0.0,0.00,1,0.6,0.0,0.0,0.00,,0,0,35,0,8968,0.4,53,1,51
702,Ashley Phillips,40,DEF,Spurs,213,705,203,0,565,0.0,209,0,368,329,491,False,,0.0,0.00,,0.00,0,0.0,0,,0.0,0,0.0,Phillips,401,0.0,0,0.0,560,538,,a,0,0.1,0.0,0,516,,0,0,10277,212,554,,0,0,0.0,0.0,0.0,156,0,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,221,0,5177,0.0,210,0,179
722,Jamie Donley,45,FWD,Spurs,73,442,75,0,674,0.0,77,0,331,247,629,False,,0.0,0.00,,0.00,0,0.0,0,,0.0,0,0.0,Donley,536,0.0,0,0.0,671,660,,a,0,0.0,0.0,0,651,,0,0,4057,75,665,,0,0,0.0,0.0,0.0,74,0,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,80,0,1846,0.0,75,0,73
740,Alfie Dorrington,40,DEF,Spurs,208,700,198,0,560,0.0,204,0,97,6,486,False,,0.0,0.00,,0.00,0,0.0,0,,0.0,0,1.3,Dorrington,729,0.0,0,0.0,555,533,,a,0,0.0,0.0,0,511,,0,0,97,207,549,,0,0,0.0,0.0,0.0,240,0,1.3,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,216,0,6,0.0,205,0,174
522,Nayef Aguerd,45,DEF,West Ham,13,382,19,136,237,0.01,78,22,3184,1723,253,False,,1.96,0.10,,21.06,0,1.0,966,100.0,1.96,11,1.5,N.Aguerd,187,2.0,0,0.08,119,311,100.0,a,0,0.9,0.0,0,145,2023-08-20T22:00:06.978879Z,0,0,78771,31,45,,1,21,0.2,1.02,0.09,73,0,1.0,0,78.0,1,0,0.09,0.87,0,25.2,35.6,253.0,0.97,,1,0,71,1,63188,4.9,108,0,84
523,Michail Antonio,58,FWD,West Ham,18,70,28,116,119,0.13,19,38,7311,12346,140,False,,1.44,1.17,,16.52,0,2.2,812,100.0,1.83,11,2.7,Antonio,95,3.2,2,0.19,114,152,100.0,a,0,3.5,0.0,0,79,2023-10-05T08:30:09.332489Z,1,0,654758,20,158,,1,13,0.4,1.22,0.32,17,-2,2.2,0,138.0,0,0,0.44,1.74,2,86.9,36.4,142.8,2.91,,4,4,23,2,606276,6.6,17,2,21
524,Alphonse Areola,43,GKP,West Ham,7,568,57,217,106,0.0,12,40,21764,12699,173,False,,1.83,0.00,,22.40,0,1.8,1080,,1.87,12,2.3,Areola,7,3.3,0,0.0,136,546,,a,1,37.3,3.67,44,527,,0,0,1978116,6,16,,2,22,0.4,1.0,0.0,1,3,1.8,0,0.0,0,0,0.08,0.00,0,0.0,33.7,336.6,0.00,,1,2,30,0,451746,9.3,63,-3,18
525,Saïd Benrahma,57,MID,West Ham,118,84,55,52,277,0.16,124,16,363,934,336,False,,1.47,0.75,,8.18,0,0.5,430,,1.71,4,1.0,Benrahma,243,1.8,1,0.11,146,83,,a,0,0.5,0.0,0,87,,0,0,28609,76,286,2.0,0,7,0.1,0.84,0.27,77,-3,0.5,0,132.0,0,0,0.21,0.51,1,138.0,32.9,59.6,1.26,2.0,1,0,52,0,79693,2.8,60,3,162
